tweet_id,favorites_count,retweets_count
892420643555336193,38950,8631
892177421306343426,33346,6341
891815181378084864,25122,4208
891689557279858688,42287,8756
891327558926688256,40452,9513
891087950875897856,20291,3149
890971913173991426,11899,2100
890729181411237888,65798,19138
890609185150312448,27868,4317
890240255349198849,32053,7513
890006608113172480,30765,7431
889880896479866881,27881,5026
889665388333682689,48264,10183
889638837579907072,27270,4596
889531135344209921,15139,2262
889278841981685760,25391,5496
888917238123831296,29191,4560
888804989199671297,25687,4395
888554962724278272,19997,3625
888202515573088257,Not Found,Not Found
888078434458587136,21848,3540
887705289381826560,30304,5460
887517139158093824,46404,11804
887473957103951883,69377,18446
887343217045368832,33811,10527
887101392804085760,30664,6034
886983233522544640,35293,7858
886736880519319552,12119,3338
886680336477933568,22512,4526
886366144734445568,21198,3223
886267009285017600,116,4
886258384151887873,28064,6374
886054160059072513,0,105
885984800019947520,32835,6895
885528943205470208,36135,6518
885518971528720385,20499,3808
885311592912609280,0,18792
885167619883638784,22023,4435
884925521741709313,77856,18681
884876753390489601,28041,5868
884562892145688576,24397,4937
884441805382717440,27095,5725
884247878851493888,73294,20677
884162670584377345,20463,3031
883838122936631299,21988,3493
883482846933004288,46121,10093
883360690899218434,22639,3733
883117836046086144,37369,6760
882992080364220416,24041,3981
882762694511734784,28422,4990
882627270321602560,27970,6173
882268110199369728,45135,11766
882045870035918850,29481,5053
881906580714921986,24383,3438
881666595344535552,50747,10820
881633300179243008,127,7
881536004380872706,49652,16191
881268444196462592,23151,5212
880935762899988482,17075,2815
880872448815771648,21379,3870
880465832366813184,28642,6373
880221127280381952,27181,4291
880095782870896641,27736,4419
879862464715927552,22388,3549
879674319642796034,312,10
879492040517615616,23500,3233
879415818425184262,106309,44804
879376492567855104,16839,3160
879130579576475649,0,6951
879050749262655488,22686,4781
879008229531029506,19043,2733
878776093423087618,19455,4187
878604707211726852,30403,7355
878404777348136964,0,1313
878316110768087041,0,6765
878281511006478336,7789,1313
878057613040115712,42232,6951
877736472329191424,80354,19481
877611172832227328,0,81
877556246731214848,22871,3891
877316821321428993,27473,5266
877201837425926144,27268,5694
876838120628539392,20775,3417
876537666061221889,23548,4688
876484053909872640,18856,2446
876120275196170240,28060,4775
875747767867523072,25321,4370
875144289856114688,22028,5013
875097192612077568,27558,6154
875021211251597312,25617,4798
874680097055178752,28015,4727
874434818259525634,0,15075
874296783580663808,26214,4194
874057562936811520,22783,4028
874012996292530176,34906,10682
873697596434513921,Not Found,Not Found
873580283840344065,24409,4031
873337748698140672,0,1623
873213775632977920,7321,1623
872967104147763200,27577,5515
872820683541237760,14828,3779
872668790621863937,0,29
872620804844003328,20955,3793
872486979161796608,41011,9210
872261713294495745,34525,6479
872122724285648897,34756,8320
871879754684805121,38420,11517
871762521631449091,20456,3567
871515927908634625,20411,3541
871166179821445120,0,5828
871102520638267392,21137,5625
871032628920680449,22896,3899
870804317367881728,34022,6393
870726314365509632,120,3
870656317836468226,12589,2728
870374049280663552,83663,26988
870308999962521604,22094,4272
870063196459192321,37143,8607
869988702071779329,Not Found,Not Found
869772420881756160,42975,10360
869702957897576449,28634,6529
869596645499047938,16215,3234
869227993411051520,20746,3917
868880397819494401,66642,14991
868639477480148993,0,2171
868622495443632128,27820,5964
868552278524837888,10346,2171
867900495410671616,24579,4325
867774946302451713,34569,7587
867421006826221569,16461,2613
867072653475098625,0,131
867051520902168576,32841,8179
866816280283807744,Not Found,Not Found
866720684873056260,20502,5021
866686824827068416,19737,3628
866450705531457537,124659,36653
866334964761202691,53723,15075
866094527597207552,0,8704
865718153858494464,26172,5837
865359393868664832,27074,5222
865006731092295680,28628,8008
864873206498414592,33066,9121
864279568663928832,14948,3186
864197398364647424,30902,9367
863907417377173506,21121,4332
863553081350529029,15655,4359
863471782782697472,0,2595
863432100342583297,24383,5526
863427515083354112,2318,101
863079547188785154,8974,1155
863062471531167744,8773,2595
862831371563274240,19677,5317
862722525377298433,17514,3706
862457590147678208,21103,5216
862096992088072192,76694,24449
861769973181624320,Not Found,Not Found
861383897657036800,37083,11237
861288531465048066,17688,4378
861005113778896900,17205,4003
860981674716409858,0,2269
860924035999428608,0,857
860563773140209665,7722,2269
860524505164394496,24304,5550
860276583193509888,18844,3655
860184849394610176,17187,6152
860177593139703809,0,32513
859924526012018688,20125,4310
859851578198683649,15851,3688
859607811541651456,19154,1659
859196978902773760,92748,31930
859074603037188101,34970,14374
858860390427611136,0,8577
858843525470990336,16042,3668
858471635011153920,22221,5117
858107933456039936,16248,3082
857989990357356544,16663,2733
857746408056729600,35416,11234
857393404942143489,6121,1726
857263160327368704,20686,4800
857214891891077121,238,20
857062103051644929,0,179
857029823797047296,19586,4254
856602993587888130,0,11331
856543823941562368,16874,3062
856526610513747968,12256,2004
856330835276025856,0,720
856288084350160898,535,17
856282028240666624,28655,6711
855862651834028034,363,28
855860136149123072,5112,1104
855857698524602368,12277,2253
855851453814013952,47125,18799
855818117272018944,27607,5804
855459453768019968,31137,8782
855245323840757760,0,6370
855138241867124737,0,49
854732716440526848,23777,6521
854482394044301312,30581,7363
854365224396361728,19701,5025
